accuracy,precision_macro,recall_macro,f1-score_macro,AUC_macro,precision_weighted,recall_weighted,f1-score_weighted,AUC_weighted,dataset,Focal_gamma,Focal_alpha0,Focal_alpha1,N1,N2,N3,N4,Trial,K-fold
0.9722222222222222,0.9727536231884057,0.9722222222222222,0.9722101606600088,0.9952980324074074,0.9727536231884059,0.9722222222222222,0.9722101606600086,0.9952980324074076,val,,,,256,256,128,256,0,0
0.9888888888888889,0.989247311827957,0.9888888888888889,0.9888858016115587,0.9999074074074074,0.989247311827957,0.9888888888888889,0.9888858016115588,0.9999074074074075,test,,,,256,256,128,256,0,0
0.9583333333333334,0.9629629629629629,0.9583333333333334,0.9581699346405229,0.9988425925925926,0.9629629629629629,0.9583333333333334,0.9581699346405228,0.9988425925925924,val,,,,256,256,128,256,0,1
0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9721739130434783,1.0,0.9743589743589743,0.9722222222222222,0.9721739130434782,1.0,test,,,,256,256,128,256,0,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,val,,,,256,256,128,256,0,2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,test,,,,256,256,128,256,0,2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,val,,,,256,256,128,256,0,3
0.9944444444444445,0.9945355191256832,0.9944444444444445,0.9944440586151816,1.0,0.994535519125683,0.9944444444444445,0.9944440586151817,1.0,test,,,,256,256,128,256,0,3
0.9861111111111112,0.9866666666666667,0.986111111111111,0.9861797350519156,1.0,0.9866666666666666,0.9861111111111112,0.9861797350519156,1.0,val,,,,256,256,128,256,0,4
0.9944444444444445,0.9945355191256832,0.9944444444444445,0.9944440586151816,1.0,0.994535519125683,0.9944444444444445,0.9944440586151817,1.0,test,,,,256,256,128,256,0,4
