val_loss,val_acc,loss,acc,lr,epoch,K-fold,Trial,Focal_gamma,Focal_alpha0,Focal_alpha1,N1,N2,N3,N4
0.15143322613504198,0.7013888888888888,0.08703315309766266,0.5625,7.000000186963007e-05,0,0,0,,,,256,256,128,256
0.08661749503678745,0.9305555555555556,0.04144317698147562,0.7586805555555556,7.000000186963007e-05,1,0,0,,,,256,256,128,256
0.06946598034765986,0.9513888888888888,0.027374312074648008,0.8350694444444444,7.000000186963007e-05,2,0,0,,,,256,256,128,256
0.045734609787662826,0.9652777777777778,0.02111779670352521,0.8730434787791709,7.000000186963007e-05,3,0,0,,,,256,256,128,256
0.041176278351081744,0.9722222222222222,0.017092722235247493,0.8940972222222222,7.000000186963007e-05,4,0,0,,,,256,256,128,256
0.03893224843260315,0.9722222222222222,0.01584383109972502,0.8958333333333334,2.9999999242136255e-05,5,0,0,,,,256,256,128,256
0.03867589020066791,0.9652777777777778,0.015638204132733136,0.9060869566253994,2.9999999242136255e-05,6,0,0,,,,256,256,128,256
0.03559732137040959,0.9722222222222222,0.0143167327494464,0.9149305555555556,2.9999999242136255e-05,7,0,0,,,,256,256,128,256
0.03494820247093836,0.9722222222222222,0.012144735639190508,0.9149305555555556,2.9999999242136255e-05,8,0,0,,,,256,256,128,256
0.033886593989639856,0.9722222238779068,0.013383538397433965,0.9252173913043479,2.9999999242136255e-05,9,0,0,,,,256,256,128,256
0.14145642518997192,0.6388888888888888,0.07876321533694863,0.6006944444444444,7.000000186963007e-05,0,1,0,,,,256,256,128,256
0.09593057011564572,0.8611111111111112,0.036301974362383284,0.7690972222222222,7.000000186963007e-05,1,1,0,,,,256,256,128,256
0.0811954823633035,0.8263888888888888,0.028078567288402054,0.8385416666666666,7.000000186963007e-05,2,1,0,,,,256,256,128,256
0.049247978824294276,0.9375,0.021652930093848187,0.8626086958594944,7.000000186963007e-05,3,1,0,,,,256,256,128,256
0.04995170851341552,0.9375,0.0166065338287606,0.8854166666666666,7.000000186963007e-05,4,1,0,,,,256,256,128,256
0.049171502598457865,0.9305555555555556,0.014251556363888085,0.9114583333333334,2.9999999242136255e-05,5,1,0,,,,256,256,128,256
0.04117661243718532,0.9444444444444444,0.017421273866101452,0.8730434786755106,2.9999999242136255e-05,6,1,0,,,,256,256,128,256
0.03941729046507842,0.9444444444444444,0.01170285624296715,0.9322916666666666,2.9999999242136255e-05,7,1,0,,,,256,256,128,256
0.03635565796867013,0.9513888888888888,0.011411826514328519,0.9409722222222222,2.9999999242136255e-05,8,1,0,,,,256,256,128,256
0.037273898036801256,0.9583333358168602,0.014898646392090166,0.9182608696688777,2.9999999242136255e-05,9,1,0,,,,256,256,128,256
0.11458335402939054,0.8333333333333334,0.07772509205258554,0.5815972222222222,7.000000186963007e-05,0,2,0,,,,256,256,128,256
0.05354459356102678,0.9861111111111112,0.039194394627379045,0.7638888888888888,7.000000186963007e-05,1,2,0,,,,256,256,128,256
0.036169390918480024,0.9861111111111112,0.02766549985648857,0.8211805555555556,7.000000186963007e-05,2,2,0,,,,256,256,128,256
0.027403106292088825,0.9930555555555556,0.02080606556295053,0.8573913045551466,7.000000186963007e-05,3,2,0,,,,256,256,128,256
0.021270909553600684,0.9930555555555556,0.01809939830046561,0.8940972222222222,7.000000186963007e-05,4,2,0,,,,256,256,128,256
0.01624757532651226,1.0,0.015182144506575746,0.9184027777777778,2.9999999242136255e-05,5,2,0,,,,256,256,128,256
0.015553487451850541,1.0,0.014146660378445749,0.9252173914080081,2.9999999242136255e-05,6,2,0,,,,256,256,128,256
0.011052250215369794,1.0,0.014182016706197627,0.9236111111111112,2.9999999242136255e-05,7,2,0,,,,256,256,128,256
0.011406641608724991,1.0,0.01362134791755428,0.9253472222222222,2.9999999242136255e-05,8,2,0,,,,256,256,128,256
0.0098321930563543,1.0,0.014592873965916426,0.9200000001036602,2.9999999242136255e-05,9,2,0,,,,256,256,128,256
0.12440334343247944,0.7638888888888888,0.08219735096726152,0.578125,7.000000186963007e-05,0,3,0,,,,256,256,128,256
0.08229185061322318,0.8958333333333334,0.044914743656085596,0.7291666666666666,7.000000186963007e-05,1,3,0,,,,256,256,128,256
0.052435809953345194,0.9652777777777778,0.026980743769349322,0.8055555555555556,7.000000186963007e-05,2,3,0,,,,256,256,128,256
0.0415033929877811,0.9722222222222222,0.021610703450506148,0.8539130434782609,7.000000186963007e-05,3,3,0,,,,256,256,128,256
0.03655623903291093,0.9444444444444444,0.019421079907462828,0.8715277777777778,7.000000186963007e-05,4,3,0,,,,256,256,128,256
0.022819397660593193,0.9861111111111112,0.02126166158510993,0.8506944444444444,2.9999999242136255e-05,5,3,0,,,,256,256,128,256
0.023968783414198294,0.9791666666666666,0.01395318357921813,0.9113043479297472,2.9999999242136255e-05,6,3,0,,,,256,256,128,256
0.020605762644360464,1.0,0.015682918692214623,0.9097222222222222,2.9999999242136255e-05,7,3,0,,,,256,256,128,256
0.016562343678540654,1.0,0.016076547805116408,0.9114583333333334,2.9999999242136255e-05,8,3,0,,,,256,256,128,256
0.01149768023363625,1.0,0.01627329018290924,0.9026086957558341,2.9999999242136255e-05,9,3,0,,,,256,256,128,256
0.1056883583466212,0.8472222222222222,0.08201896689004368,0.6128472222222222,7.000000186963007e-05,0,4,0,,,,256,256,128,256
0.07265315825740497,0.9305555555555556,0.039382058997742005,0.7673611111111112,7.000000186963007e-05,1,4,0,,,,256,256,128,256
0.04641739216943582,0.9583333333333334,0.026547566366692383,0.8402777777777778,7.000000186963007e-05,2,4,0,,,,256,256,128,256
